customer_registration_number,merchandize_category,amount_deposited_via_counter,amount_deposited_via_card,balance_on_complaign_date,transaction_date,complaint_date,restaurant_points,fuel_points,groceries_points,toys_points,cash_back_points,electronics,complained,Order_tyPe,amount,quantity,card_vendor,used_coupon,product_discounted,cust_age,cust_gender
64257fd79a53006421b72c3f,Breakfast,0.0,779.0,1272.0,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,49,Female
64257ffc9a53006421b72c40,Frozen,0.0,536.0,928.0,2023-03-15,2023-03-29,0,1,0,0,0,0,YES,Pickup,3000.0,1.0,Visa,No,no,82,Female
642580229a53006421b72c41,Alcohol,0.0,330225.0,177850.0,2023-03-15,2023-03-29,0,0,0,0,1,0,NO,Walk In,22000.0,1.0,Visa,No,no,35,Male
642580469a53006421b72c42,Baking,0.0,6215561.04,301542.04,2023-03-15,2023-03-29,3,0,1,0,1,0,NO,Walk In,1600000.0,5.0,Mastercard,No,YEs,95,Female
642580469a53006421b72c42,Alcohol,0.0,6215561.04,301542.04,2023-03-15,2023-03-29,3,0,1,0,1,0,NO,Walk In,1600000.0,5.0,Mastercard,No,YEs,95,Female
642580469a53006421b72c42,Guns and weaponry,0.0,6215561.04,301542.04,2023-03-15,2023-03-29,3,0,1,0,1,0,NO,Walk In,1600000.0,5.0,Mastercard,No,YEs,95,Female
642580659a53006421b72c43,Breakfast,0.0,71197.0,3276.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,1.0,Visa,No,no,81,Female
642580659a53006421b72c43,Condiment,0.0,71197.0,3276.0,2023-03-15,2023-03-29,0,0,0,0,0,0,NO,Other,1.0,1.0,Visa,No,no,81,Female
642580879a53006421b72c44,Condiment,997055.0,997055.0,389748.0,2023-03-15,2023-03-29,0,0,0,0,4,0,NO,Walk In,495000.0,17.0,Visa,No,no,36,Female
642580a79a53006421b72c45,Breakfast,0.0,4100.0,0.99,2023-03-15,2023-03-29,0,0,0,0,0,0,YES,Other,1.0,1.0,Visa,No,no,57,Female
